reference,prediction_before,prediction_after,cer_before,cer_after
\frac { 1 } { K + M ^ { 2 } } = \frac { 1 } { K _ { 0 } + M ^ { 2 } } \left( 1 - \frac { K _ { \Lambda } } { K _ { 0 } + M ^ { 2 } } \Lambda ^ { - 4 } + O ( \Lambda ^ { - 8 } ) \right) .,$$\frac { 1 } { K + M ^ { 2 } } = \frac { 1 } { K _ { 0 } + M ^ { 2 } } \left( 1 - \frac { K _ { \Lambda } } { K _ { 0 } + M ^ { 2 } } \Lambda ^ { - 4 } + O ( \Lambda ^ { - 8 } ) \right) .$$,\frac { 1 } { K + M ^ { 2 } } = \frac { 1 } { K _ { 0 } + M ^ { 2 } } \left( 1 - \frac { K _ { \Lambda } } { K _ { 0 } + M ^ { 2 } } \Lambda ^ { - 4 } + O ( \Lambda ^ { - 8 } ) \right) .,0.021505376344086023,0.0
"S _ { \mathrm { m a t t e r } } \leq \frac { A } { 4 } ,","$$S _ { \mathrm { m a t t e r } } \leq { \frac { A } { 4 } } ,$$","S _ { \mathrm { m a t t e r } } \leq { \frac { A } { 4 } } ,",0.14285714285714285,0.07142857142857142
T _ { 1 2 } \equiv \frac { t _ { 1 } - t _ { 2 } } { \sqrt { e ( \theta _ { 1 } \chi ) e ( \theta _ { 2 } \chi ) } } + \theta _ { 1 } \theta _ { 2 },$$T _ { 1 2 } \equiv \frac { t _ { 1 } - t _ { 2 } } { \sqrt { e ( \theta _ { 1 } \chi ) e ( \theta _ { 2 } \chi ) } } + \theta _ { 1 } \theta _ { 2 }$$,T _ { 1 2 } \equiv \frac { t _ { 1 } - t _ { 2 } } { \sqrt { e ( \theta _ { 1 } \chi ) e ( \theta _ { 2 } \chi ) } } + \theta _ { 1 } \theta _ { 2 },0.02702702702702703,0.0
\left( \sqrt { - { \widehat g } } \left[ { \widehat R } - { \widetilde \Lambda } \right] \right) ^ { ( 2 ) },$$( \sqrt { - \hat { g } } [ \hat { R } - \tilde { \Lambda } ] ) ^ { ( 2 ) }$$,\left( \sqrt { - \hat { g } } \left[ \hat { R } - \tilde { \Lambda } \right] \right) ^ { ( 2 ) },0.4444444444444444,0.2222222222222222
\delta _ { \kappa _ { 1 } } p _ { 1 } ^ { \mu } = 2 \bar { \kappa } _ { 1 } \left( \begin{array} { c } { \lambda _ { 2 } ^ { 2 } \gamma ^ { \mu } \gamma \cdot p _ { 1 } \ - \gamma \cdot \lambda _ { 2 } \gamma \cdot p _ { 1 } \lambda _ { 2 } ^ { \mu } } \\ { + \lambda _ { 2 } \cdot p _ { 1 } \gamma \cdot \lambda _ { 2 } \gamma ^ { \mu } } \\ \end{array} \right) \dot { \theta } _ { 1 } .,$$\delta _ { \kappa _ { 1 } } p _ { 1 } ^ { \mu } = 2 \bar { \kappa } _ { 1 } \left( \begin{array} { c } { { \lambda _ { 2 } ^ { 2 } \gamma ^ { \mu } \gamma \cdot p _ { 1 } - \gamma \cdot \lambda _ { 2 } \gamma \cdot p _ { 1 } \lambda _ { 2 } ^ { \mu } } } \\ { { + \lambda _ { 2,\delta _ { \kappa _ { 1 } } p _ { 1 } ^ { \mu } = 2 \bar { \kappa } _ { 1 } \left( \begin{array} { c } { \lambda _ { 2 } ^ { 2 } \gamma ^ { \mu } \gamma \cdot p _ { 1 } \ - \gamma \cdot \lambda _ { 2 } \gamma \cdot p _ { 1 } \lambda _ { 2 } ^ { \mu } } \\ { + \lambda _ { 2 } \cdot,0.30927835051546393,0.2757731958762887
"{ \cal G } _ { \bot } ^ { [ i ] } = \{ h _ { i } ; E _ { - \vec { e } _ { p } + \vec { e } _ { q } } , q \leq i , \mathrm { a n d } p \geq i + 1 \} .","$$\mathcal { G } _ { \perp } ^ { [ i ] } = \{ h _ { i } ; E _ { - \varepsilon _ { p } + \varepsilon _ { q } } , q \leq i , \mathrm { a n d } p \geq i + 1 \} .$$","\mathcal { G } _ { \perp } ^ { [ i ] } = \{ h _ { i } ; E _ { - \vec { e } _ { p } + \vec { e } _ { q } } , q \leq i , \mathrm { a n d } p \geq i + 1 \} .",0.21476510067114093,0.0738255033557047
v ^ { \mu } = v ^ { \mu } - 2 \ \frac { ( w \cdot v ) w ^ { \mu } } { ( w \cdot w ) } .,"$$v ^ { \mu } = v ^ { \mu } - 2 \, \frac { ( w \cdot v ) w ^ { \mu } } { ( w \cdot w ) } .$$",v ^ { \mu } = v ^ { \mu } - 2 \frac { ( w \cdot v ) w ^ { \mu } } { ( w \cdot w ) } .,0.05747126436781609,0.022988505747126436
"e ^ { - 2 \Phi } = - \lambda ^ { 2 } x ^ { + } x ^ { - } = e ^ { \lambda \left( \sigma ^ { + } - \sigma ^ { - } \right) } = e ^ { 2 \lambda \sigma } ,","$$e ^ { - 2 \Phi } = - \lambda ^ { 2 } x ^ { + } x ^ { - } = e ^ { \lambda } ( \sigma ^ { + } - \sigma ^ { - } ) = e ^ { 2 \lambda \sigma } ,$$","e ^ { - 2 \Phi } = - \lambda ^ { 2 } x ^ { + } x ^ { - } = e ^ { \lambda \bigl ( \sigma ^ { + } - \sigma ^ { - } \bigr ) } = e ^ { 2 \lambda \sigma } ,",0.11333333333333333,0.05333333333333334
"a _ { 0 } = \int _ { M ^ { \alpha } } 1 , a _ { 1 } = \int _ { M ^ { \alpha } } ( { \frac { 1 } { 6 } } R + X ) + ( 2 \pi \alpha ) c _ { 2 } ( \alpha ) \int _ { \Sigma } 1 .","$$a _ { 0 } = \int _ { M ^ { \alpha } } 1 , a _ { 1 } = \int _ { M ^ { \alpha } } ( \frac { 1 } { 6 } R + X ) + ( 2 \pi \alpha ) c _ { 2 } ( \alpha ) \int _ { \Sigma } 1 .$$","a _ { 0 } = \int _ { M ^ { \alpha } } 1 , a _ { 1 } = \int _ { M ^ { \alpha } } ( \frac { 1 } { 6 } R + X ) + ( 2 \pi \alpha ) c _ { 2 } ( \alpha ) \int _ { \Sigma } 1 .",0.046242774566473986,0.023121387283236993
W _ { f i } [ K ] = \frac { 1 } { \sqrt { 2 \pi \hbar } } \exp \left\{ - \frac { i } { \hbar } \left( p _ { f } q _ { i } + \sum _ { j = 1 } ^ { N } \epsilon H ( p _ { f } - \epsilon K _ { j - 1 } - \sum _ { l = 1 } ^ { j } \epsilon J _ { l } ) \right) \right\} .,$$W _ { f i } [ K ] = \frac { 1 } { \sqrt { 2 \pi \hbar } } \exp \left\{ - \frac { i } { \hbar } \left( p _ { f } q _ { i } + \sum _ { j = 1 } ^ { N } \epsilon H ( p _ { f } - \epsilon K _ { j - 1 } - \sum _ { l = 1 } ^ { j } \epsilon J _ { l } ) \right) \right\} .$$,W _ { f i } [ K ] = \frac { 1 } { \sqrt { 2 \pi \hbar } } \exp \left\{ - \frac { i } { \hbar } \left( p _ { f } q _ { i } + \sum _ { j = 1 } ^ { N } \epsilon H ( p _ { f } - \epsilon K _ { j - 1 } - \sum _ { l = 1 } ^ { j } \epsilon J _ { l } ) \right) \right\} .,0.015209125475285171,0.0
"B = \Phi ^ { 2 } , \qquad B _ { _ { 0 0 } } = - { \frac { c ^ { 4 } } { c _ { _ \mathrm { P } } ^ { 2 } } } \Phi ^ { 2 } + { \cal O } \{ \Theta ^ { 4 } \} \ , \qquad B _ { _ { 1 1 } } = \Phi ^ { 2 } + { \cal O } \{ \Theta ^ { 4 } \} \ .","$$B = \Phi ^ { 2 } , \quad B _ { 0 0 } = - { \frac { c ^ { 4 } } { c _ { \mathrm { p } } ^ { 2 } } } \Phi ^ { 2 } + { \mathcal { O } } \{ \Theta ^ { 4 } \} \ , \quad B _ { 1 1 } = \Phi ^ { 2 } + { \mathcal { O } } \{ \Theta ^ { 4 } \} \ .$$","B = \Phi ^ { 2 } , \qquad B _ { 0 0 } = - \frac { c ^ { 4 } } { c _ { \mathrm { p } } ^ { 2 } } \Phi ^ { 2 } + { \cal O } \{ \Theta ^ { 4 } \} \ , \qquad B _ { 1 1 } = \Phi ^ { 2 } + { \cal O } \{ \Theta ^ { 4 } \} \ .",0.15677966101694915,0.08050847457627118
V ( r ) = E \left[ 1 - \frac { r ^ { 4 } \triangle h \tilde { h } } { 2 r _ { * } ^ { 4 } } \left( 1 - \frac { h } { ( 1 + r _ { * } ^ { 4 } / r ^ { 4 } \triangle ) ^ { 2 } } \right) \right] .,$$V ( r ) = E \left[ 1 - { \frac { r ^ { 4 } \triangle h \tilde { h } } { 2 r _ { * } ^ { 4 } } } \left( 1 - { \frac { h } { ( 1 + r _ { * } ^ { 4 } / r ^ { 4 } \triangle ) ^ { 2 } } } \right) \right] .$$,V ( r ) = E \left[ 1 - \frac { r ^ { 4 } \triangle h \tilde { h } } { 2 r _ { * } ^ { 4 } } \left( 1 - \frac { h } { ( 1 + r _ { * } ^ { 4 } / r ^ { 4 } \triangle ) ^ { 2 } } \right) \right] .,0.0625,0.0
"+ \left[ m _ { 1 } \left( \varepsilon ^ { \mu , \mu } + \varepsilon ^ { \widetilde { \mu } , \widetilde { \mu } } \right) + m _ { 2 } \left( \varepsilon ^ { 0 , 0 } + \frac 1 2 \varepsilon ^ { [ \mu \nu ] , [ \mu \nu ] } + \varepsilon ^ { \widetilde { 0 } , \widetilde { 0 } } \right) \right] _ { A B } \biggr \} \Psi _ { B } ( x ) = 0 .","$$+ \left[ m _ { 1 } \left( \varepsilon ^ { \mu , \mu } + \varepsilon ^ { \widetilde { \mu } , \widetilde { \mu } } \right) + m _ { 2 } \left( \varepsilon ^ { 0 , 0 } + \frac { 1 } { 2 } \varepsilon ^ { [ \mu \nu ] , [ \mu \nu ] } + \varepsilon ^ { \widetilde { 0 } , 0 } \right","+ \left[ m _ { 1 } \left( \varepsilon ^ { \mu , \mu } + \varepsilon ^ { \widetilde { \mu } , \widetilde { \mu } } \right) + m _ { 2 } \left( \varepsilon ^ { 0 , 0 } + \frac { 1 } { 2 } \varepsilon ^ { [ \mu \nu ] , [ \mu \nu ] } + \varepsilon ^ { \widetilde { 0 } , \widetilde {",0.2344213649851632,0.22255192878338279
R ^ { \prime } ( s ) = - q ( s ; \lambda ) ^ { 2 },$$R ^ { \prime } ( s ) = - q ( s ; \lambda ) ^ { 2 }$$,R ^ { \prime } ( s ) = - q ( s ; \lambda ) ^ { 2 },0.08,0.0
"v _ { p q } \equiv \frac { p \cdot q } { \sqrt { \left( p \cdot q \right) ^ { 2 } - p ^ { 2 } q ^ { 2 } } } ,","$$v _ { p q } \equiv \frac { p \cdot q } { \sqrt { ( p \cdot q ) ^ { 2 } - p ^ { 2 } q ^ { 2 } } } ,$$","v _ { p q } \equiv \frac { p \cdot q } { \sqrt { ( p \cdot q ) ^ { 2 } - p ^ { 2 } q ^ { 2 } } } ,",0.13761467889908258,0.10091743119266056
A _ { i } ^ { h } = - i \partial _ { i } h * h _ { * } ^ { - 1 } + h * A _ { i } * h _ { * } ^ { - 1 } .,$$A _ { i } ^ { h } = - i \partial _ { i } h * h _ { * } ^ { - 1 } + h * A _ { i } * h _ { * } ^ { - 1 } .$$,A _ { i } ^ { h } = - i \partial _ { i } h * h _ { * } ^ { - 1 } + h * A _ { i } * h _ { * } ^ { - 1 } .,0.038461538461538464,0.0
"V = W _ { i ^ { * } } ^ { * } K ^ { - 1 { i ^ { * } } j } W _ { j } ,","$$V = W _ { i } ^ { * } K ^ { - 1 i ^ { * } j } W _ { j } ,$$","V = W _ { i } ^ { * } K ^ { - 1 i ^ { * } j } W _ { j } ,",0.2318840579710145,0.17391304347826086
